,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
day 0,39.50023999,0,0,0,0,0,0,0,0,0,42.00336,42.00336,0,38.00016,42.50016,46.50015999,50.00016,58.00016,53.00031999,49.00032,50.00016,50.00032,51.00016,51.00015999,52.00016,54.50023999,54.00032,50.50072,52.00031999,52.50031999,55.00024,59.00024,55.00016,56.00015999,56.00031999,55.00016,59.00016,61.00023999,55.00031999,49.50032,50.00032,50.00031999,49.00031999,50.00031999,49.00031999,47.00016,42.00024,41.50024
day 1,41.50063999,0,0,0,0,0,0,0,0,0,41.00320001,349.00136,0,39.00095999,42.00016,47.50024,56.00015999,54.00016,52.00024,50.00032,52.00032,51.50016,53.00016001,51.00032,52.00031999,56.00031998,56.00024,50.50032,50.50016,53.00015999,54.00032,54.00031999,58.50024,55.00031999,60.00016,58.00016,59.00031999,65.00031999,59.00015999,51.00031999,48.00016,49.00015999,49.50031999,49.00031999,48.00024,48.00023999,44.00031999,41.00016
day 2,39.00031999,42.00336,0,0,0,0,0,0,0,0,41.0032,47.00096,0,39.50032,44.50016,50.00016,58.00031999,59.00015999,56.50023999,52.00039999,52.50016,53.00031999,53.00015999,53.00015999,53.00031999,59.5004,55.0004,51.50016,52.0004,54.00016,56.50032,59.00031999,56.50016,58.00032,55.00015999,58.00016,60.00064001,67.00048,61.00023999,55.00032,49.00031999,51.00023999,48.50015999,49.00048,49.50023999,47.00016,43.00031999,42.00031999
day 3,40.50032,0,0,0,0,0,0,0,0,0,41.00312,44.00216,0,39.00015999,43.00015999,48.50024,61.00016,59.00015999,53.00112,52.00016,52.00031999,54.00016,53.00016001,53.00015999,54.00016,58.00032,55.50047999,51.00031999,53.00031998,54.00031999,56.00023999,58.00031999,59.00031999,60.00031999,59.00031999,59.00031999,65.00015999,68.00032,65.00031999,52.50023999,50.00031998,48.00024,50.00016,49.00031999,49.00031999,48.00015999,43.00031999,42.00032
day 4,39.00024,0,0,0,0,0,0,0,0,0,42.00336,0,3553,39.00016,42.00016,48.00032,55.00016,54.50023999,52.00024,51.00031999,51.00031999,52.00031999,52.00031999,52.00031999,54.00015999,57.50055999,56.50048,51.50024,54.00015999,57.50023999,57.00032,55.00016,56.00031999,60.00032,60.00016,56.00047999,59.50031999,68.00071999,62.50023999,56.00031999,52.00015999,49.00031999,51.50023999,52.50023999,52.5004,50.50024,45.00047999,42.00016
day 5,41.00016,0,0,0,0,0,0,0,0,0,40.502,42.00336,0,39.00015999,41.00016,45.00016,47.00016,48.00048,50.00032,50.00032,51.00031999,52.00031999,54.00016,54.00023999,52.50047999,56.50024,56.50023999,55.00015999,57.50023999,58.00087999,59.00031999,60.00016,61.50016,60.00031999,59.00015999,60.50024,58.00031999,61.50032,54.00032,51.50032,50.00032,52.00015999,52.00031999,51.50024,51.50031999,48.00031999,46.00015999,42.00016
day 6,41.00079999,0,0,0,0,0,0,0,0,0,41.5032,42.00336,0,38.00039999,40.00015999,42.00048,46.00016,49.00015999,49.00031999,49.00031999,49.00031999,52.00015999,52.00031999,52.00031999,52.00031999,53.00031999,54.00016,55.00031999,57.00023999,62.50023999,65.00031999,65.00015999,66.00031998,65.00031999,61.00032,61.00031999,56.00015999,56.00015999,52.00031999,49.00016,50.00016,51.00016,50.50024,50.00032,50.00032,48.00031999,45,41.00048
