,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0.038461302,0,0.3125,0.366660267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083331111,0,0,0,0,0,0,0,0.081167762,0,0,0,0.090907769,0.045453884,0.242857143,0,0,0.416661111,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1875,1,0.738636364,0.966666666,1.416666667,0.888888889,0.999999999,0.999999999,0.999999999,1.000000001,0.749955003,0.9,0.522707274,0.666666667,0.75,0.555555556,0.9,0.499973334,0.333333333,0.800000001,0.55,0.75,0.999999999,0.825757576,0.714285715,0.486111111,0.666666667,0.571428571,0.5,0.5,0.500000001,0.999999999,0.25,0.141447368,0.181818182
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.261363637,0.285714286,0.266666667,0.166666667,0.133333333,0.090909091,0.1,0.181818182,0,0.125,0.095454545,0,0,0.116883117,0.222218272,0,0.125,0,0.125,0.16025641,0.2,0.142857143,0.1125,0,0.166664445,0,0.090909091,0,0,0,0.104166667,0.054093567,0.041666667
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183331111,0.309523809,0.25,0.416666666,0.128787879,0.333333333,0.225,0.2,0.154759683,0.154761905,0.126984127,0.142853878,0.1625,0.2,0.166666667,0.225,0.083333333,0.2,0.18330774,0.154761905,0.333333333,0.266666666,0.499960004,0.111111111,0.153846154,0.285714286,0.183333333,0.2,0.125,0.166666667,0.2,0.302884615,0.111109136,0.2
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.2,0.166666667,0.125,0.166666667,0.1,0.091666667,0.166666667,0.428571429,0.166666667,0.285714286,0.333333333,0.333333333,0.324561404,0.583333334,0.333333333,0.500000001,0.666666667,0.75,0.230769231,0.666666664,0.666666667,0.333333333,0.519230769,0.572727273,0.30952381,0.666666667,1,1.000000002,0.727272727,0.222222222,0.153846154
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0.006666524,0,0,0.366663466,0.666666667,0.428571428,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0.105555556,0.416666666,0.999999997,0.966666665,1.000000001,1.333333334,1.166666667,0.800000001,1.238095238,1.111111112,1.000000002,1.041666667,1.142857143,0.999999998,0.874999999,1.30952381,1.937499998,1.166666667,1,1.125000001,1.142857143,1.100000001,1.125000001,1.6,2.200000002,1.142857143,1.400000001,1.642857142,0.788888889,0.816666666,0.944444444,0.381811782,0.666666667,0.4,0.272727273,0
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0.00675664,0.1,0.5125,0.5,0.55,0.857123267,0.607142858,0.527777778,0.5,0.5,0.25,0.500000001,0.645833334,0.333333333,0.585227272,0.535714286,0.5,0.75,0.333333333,0.5,0.387447514,0.550000001,0.4,0.666666666,1.000000002,0.773809524,0.45,0.357126532,0.333333333,0.333333333,0.25,0.154761905,0.2,0.225,0.117647059,0.083333333
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0.01351328,0.017241379,0,0.174242424,0.1874975,0.2,0.267857143,0.05,0.25,0.236363636,0.30952381,0,0.226190476,0.111111111,0.211111111,0.369318182,0.3,0.100961538,0.05,0,0.15,0.316666667,0.316666667,0.16025641,0.230156755,0.148351648,0.1125,0.2,0.333333333,0,0.125,0.25,0.142857143,0.142857143,0.142857143,0
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0.058731072,0.105072313,0.354144169,0.303030303,0.678571429,0.307692308,0.577777778,0.5,0.563487125,0.306818182,0.25384426,0.333333333,0.666666666,0.2,0.211111111,0.666666667,0.414279315,0.307692308,0.285714286,0.171428571,0.183333333,0.107142857,0.500000001,0.222222222,0.091666667,0.183326934,0.125,0.218748125,0.142857143,0.194444444,0,0,0.111111111,0.033333333,0.05,0
