,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0.085208577,0.111111111,0.285714286,0.2499925,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499992,0,0.05,0,0,0,0,0.0499992,0,0,0,0.181816859,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37012987,0.600000001,0.708333333,0.5,1.1,0.466666666,1.000000001,0.75,0.600000001,0.550000001,0.535714286,0.854155556,0.266666667,0.363636363,0.4,0.600000001,0.414285714,0.600000001,0.5,0.388888889,0.472215556,0.55,0.75,0.683333333,0.5,0.545454545,0.333333333,0.167760135,0.224995001,0.261111111,0.4,0.5,0.222222222,0.071770113,0.090909091
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0.111111111,0.125,0.2,0.045454545,0.222222222,0.1249975,0.090909091,0.15,0,0.166666667,0.083333333,0,0.045454545,0.154761905,0.183333333,0.2,0.2,0.088887901,0,0.083916084,0.166662222,0.25,0,0.25,0.2,0,0.183333333,0.041666667,0.142857143,0.0625,0,0.052631579,0.090909091
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.090909091,0.333333333,0.045454545,0.225,0.183333333,0,0.090909091,0,0.2,0.142857143,0.266657067,0.142857143,0.181818182,0.267857143,0.083333333,0,0.03125,0.142857143,0.1,0.2,0.0625,0.111111111,0.25,0.2,0.118055556,0,0.045454545,0.142853878,0.214285714,0.111111111,0.0999968,0.136363636
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101010101,0.166666666,0.166666667,0,0.333333332,0.166666667,0.055555556,0.145833333,0.166666667,0.357142857,0.333333332,0.366666667,0.333333333,0.916666666,0.500000001,0.5,0.527272727,0.384615385,0.4,0.333333333,0.380952381,0.333333333,0.181818182,0.45,0.5,0.666666667,1.125,0.25,0.052631579,0.041666667
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49998,0,0,0.045453884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0.105555556,0.320512821,0.55,1,0.666666667,1.333333331,0.666666667,0.999999999,1.05,0.888888889,1,1.222222223,1.624999999,0.599961603,1.100000001,1.125000001,1,1.249999999,1.041666668,0.800000001,1.272727273,0.666666666,0.791666668,0.799999999,0.833333334,0.75,0.833333334,0.833333334,0.35,0.555555556,0.75,0.5,0.366666667,0.3,0.25,0.083333333
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0.028570906,0.232142857,0.354166667,0.392307692,0.342307692,0.666666667,0.333333333,0.50001,0.366666667,0.222222222,0.499960004,0.30952381,0.25,0.428566531,0.500000001,0.3999872,0.333333333,0.571428571,0.333333333,0.25,0.333333333,0.291666667,0.464285714,0.416666667,0.428571429,0.4,0.154761905,0.2,0.211111111,0.222222222,0.333333333,0.285714286,0.183333333,0.142857143,0.111111111,0
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0.01369842,0,0.033333333,0,0,0.183333333,0,0.133331111,0.181818182,0.267857143,0.133928571,0.05065666,0,0.154761905,0.2,0.2,0.027777778,0.25,0,0.25,0.183333333,0.1,0.125,0.1,0.240384615,0,0,0,0,0.133928571,0.190909091,0,0.162337662,0.058822422,0.125,0
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0.08749895,0.076923077,0.25,0.153846154,0.25,0.599999999,0.25,0.25,0.2,0.291666667,0.333333333,0.291664167,0,0.225,0.2,0.25,0.071428571,0.5,0.236111111,0.2,0.2,0.24999,0.2,0.2,0.145833333,0,0,0,0.133928571,0,0.118055556,0,0.05,0,0,0
stop11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.083333333,0,0.2,0.431818182,0.309521587,0.333327408,0.225,0.285714286,0.333333333,0.30952381,0.242857143,0.2,0.103040541,0.30952381,0.333333333,0.154761905,0.4,0.333333333,0.2,0.333333333,0.25,0.0499992,0.292857143,0.166666667,0,0.25,0.166666667,0.090909091,0,0,0,0,0.125,0.083333333
stop12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.333333333,0.333333333,0.166666667,0.4,0.2,0.257575758,0.366666666,0,0.166666667,0.125,0.244318182,0.333333333,0.166666667,0.384615385,0.240384615,0.333333332,0.078787523,0.2,0.333333333,0.0625,0.145833333,0.267857143,0.222222222,0.333333333,0.174242424,0.21969697,0.2,0.2,0.117647059,0,0
stop13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.272727273,0.489583333,0.235507246,0.333333333,1.118055555,0.666666667,0.785733879,1.650000001,1.000000001,1.222222223,0.8,1.500000002,0.607142857,1.676136363,1.000000001,1.183333333,1.333333334,1.416666668,1.999999993,1.42857143,1.619047619,1.125,1.399999998,1.272727272,0.519230769,0.999999999,0.999999999,1.181818181,1.285714285,1.5,2.125000001,0.916666665,0.571428571,0.111111111
stop15,0,0,0,0,0,0,0,0,0,0,0,0,0.025640973,0,0,0.577412067,0.2,0.232140357,0.499999998,0,0.500000001,0.375,0.714285714,0.428571428,0.5625,0.333333333,0.416666667,0.499993333,0.541666667,0.454545455,0.818181818,0.583333333,1.499999995,0.857123266,0.749985,0.591666666,0.322916667,0.666666666,0.25,0.799999999,0.708333333,0.583333333,0.875000001,0.6125,0.5,0.625,0.292857143,0.027777778
stop16,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.076923077,0.217645459,0.25,0.388888889,0.333333333,0.3125,0.171568627,0,0.200057617,0.333333333,0.214285714,0.333333333,0.250040007,0.384615385,0.386904762,0.428571428,0.666666667,0.142857143,0.166666667,0,0,0.105555556,0,0.121428571,0.0625,0.307692308,0.436507937,0,0.125,0.045454545
stop17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0.1,0,0,0,0,0,0,0,0.05,0.142857143,0,0.043478261,0.138888889,0,0.022727273,0,0,0,0,0,0,0,0,0,0.083333333,0,0
stop18,0,0,0,0,0,0,0,0,0,0,0,0,0.003896104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.142857143,0.183333333,0.142857143,0
stop19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop20,0.1,0,0,0,0,0,0,0,0,0,0,0,0.017522776,0,0.038461538,0.083333333,0,0,0.3,0.25,0.111111111,0.133333333,0,0.25,0.091666667,0.015625234,0,0,0.111115062,0.025,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0
stop21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
