,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0.05999808,0.111111111,0.105262271,0.1999968,0.090909091,0,0.111109136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500000001,1.267857142,1.000000001,1.5,1.26111111,0.666666667,0.857142857,0.633333334,0.875,0.5,0.9,1.055539557,0.666666667,0.333333333,0.506060606,0.699999999,0.750000001,0.55,0.666666667,0.630681818,0.333333333,0.750000001,1,0.800000001,0.35,0.571428571,0.333333333,0.190909091,0.4,0.416666666,0.651506263,1.124999999,0.476190476,0.272727273,0
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0.261363636,0.333333333,0.333315557,0.285714286,0.095454545,0.142857143,0.166666667,0.083333333,0,0,0.2,0,0,0.2,0.166666667,0.153846154,0,0.166666667,0.2,0.183333333,0,0.183330134,0.083333333,0.166666667,0.222222222,0,0,0,0,0,0.03125,0.033333333,0,0
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0.013888519,0.210524543,0.5,0.500000001,0.226495727,0.666666667,0.166666667,0.225,0.2,0.133928571,0.145833333,0.166666666,0.25,0.154761905,0,0.071428571,0.309514922,0.309523809,0.118055556,0.091666667,0.166666667,0.118055556,0.090909091,0.5,0.190909091,0,0.142857143,0,0.217647059,0.225,0.083333333,0.16249875,0.5,0.292857143,0.071428571,0.272727273
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.274996667,0,0.2,0.183333333,0.333333333,0.16025641,0.258333333,0.2,0.2,0.111111111,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.583333333,0.690476191,0.825757576,0.4,0.733333334,0.666666667,0.236111111,0.363636363,0.333333332,0.5,0.833333334,1,1.464285712,0.527777778,0.111111111,0.142857143
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081249688,0.25,0.666666666,0.777777778,0.153407841,0,0.1999968,0,0,0,0.076923077,0.0999968,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.1249975,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.5,1.333333334,1.774999999,1.125000001,1.283333333,0.999999999,1,1.125000001,1,1.000000001,1,1.350000001,0.999999999,0.535714286,1,1.5,1.8,0.916666667,1.125,0.875000001,0.96875,1.000000002,1.5,1.249999999,0.688888889,0.75,1.000000001,0.522727273,0.4,0.208333333,0.500000001,0.428571428,0.458333333,0.191919192,0.119047619
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0.044116817,0.268939394,0.875000001,0.666666667,0.805555556,1,0.75,0.416666666,0.559027778,0.454545455,0.499999999,0.625,0.857142855,0.363636363,0.333333333,0.354166667,0.571428571,0.444444444,0.303030303,0.5,0.666666667,0.5,0.799999999,0.750000001,0.857142857,0.500000001,0.240384615,0.222222222,0.142857143,0.166666666,0.230769231,0.2,0.199987201,0.2,0.25,0.2
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0.013513309,0.063492063,0.083333333,0.167832168,0.173913043,0.25,0.25,0.272727273,0.162337662,0.316666667,0.222222222,0.181818182,0.21978022,0.154759683,0.033333333,0.153846154,0.125,0.166666667,0.272727273,0.133331911,0.041666667,0.115131579,0.225,0.25,0.183333333,0.071428571,0.2,0,0.183333333,0.2,0.083333333,0.071428571,0,0.1,0.083333333,0.047619048
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.111111111,0.202020202,0.406593407,0.641666667,0.5,0.436507937,0.4,0.555555556,0.225,0.342857143,0.206293706,0.333333333,0.30952381,0.414285714,0.285714286,0.464285714,0.277777778,0.25,0.25,0.25,0.208333333,0.236109136,0.3,0.480769231,0.0625,0,0.111111111,0,0,0.083333333,0,0.142857143,0,0,0
stop11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063492064,0.204860174,0.285714286,0.297202797,0.230769231,0.333333333,0.25,0.3749925,0.428571428,0.375,0.499999998,0.466666666,0.333333333,0.25,0.190909091,0.1625,0.428571428,0.477272727,0.282051282,0.333333333,0.25,0.3875,0.384615385,0.333333333,0.125,0.138888889,0.142857143,0.183333333,0.1,0.166666667,0,0.111111111,0.095454545,0,0
