,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0.181818182,0.2,0,0,0,0,0,0,0,0.05,0,0,0.142857143,0,0,0,0.104166667,0,0,0,0,0,0.1999968,0,0,0,0,0,0,0.033332978,0,0,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.444444445,0.708333333,1,0.9375,1.333333334,0.75,0.833333334,1.083317779,0.749970003,0.732142857,0.803571428,0.645833332,0.75,0.666666667,1.166666667,0.690476191,0.5,0.725,0.585714286,0.778571428,0.75,0.791666667,0.4,0.333333333,0.333333333,0.45,0.499973334,0.166666667,0.416666667,0.558421968,0.409714321,0.25,0.363636363
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.1999984,0.058823529,0.101010101,0.142857143,0.183333333,0,0.333333333,0.090909091,0,0,0.142857143,0.153846154,0.154761905,0.208328334,0.055555556,0,0.031249688,0.2,0.111111111,0,0.142857143,0.111111111,0,0,0,0,0,0,0.111110123,0
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.101010101,0.2,0.236109136,0.285714286,0.25,0.098214286,0.225,0.083333333,0,0.25,0.292857143,0,0.249995,0.2,0,0.098086124,0.281746032,0,0.2,0.154761905,0.2,0,0,0.145833333,0,0.183333333,0,0.166666667,0.225,0.142857143,0.111111111,0.1
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154761905,0.2,0.055554568,0.285714286,0.166664445,0.333333333,0.599999999,0.466666667,0.55,1,0.585470086,0.444444445,0.857142857,1,0.999999999,0.666666667,0.666666667,0.916666667,0.45,0.366660267,0.55,0.666666667,0.774999999,0.666666667,0.666666667,1.555555556,0.625,0.247474747,0.090909091
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.266657778,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0.089338682,0.026315125,0.166666667,0.600000001,1.071428572,1,1,1.111111111,1.291666666,1.249999999,1,1.499999999,1.124999999,1.499999998,1.000000001,2.000000003,1.200000001,1.199999999,1.166666667,1.333333334,1.000000001,1,1.333333334,1.392307693,1.249999999,1.000000002,0.690476189,0.499999998,0.883116883,0.500000001,0.25,0.5,0.5,0.333333333,0.3,0.05
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0.013333106,0.041666667,0.121794872,0.499999998,0.333333333,0.757142857,0.600000001,0.499999998,0.285714286,0.5,0.727272728,0.267857143,0.333333333,0.600000001,0.5,0.428571428,0.600000001,0.75,0.500000001,0.428571428,0.183333333,0.166666667,0.464285714,0.5,0.090909091,0.422222222,0.125,0.25,0.125,0.285714286,0.2,0.25,0.2,0.2,0.126984127,0.08333
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0.138461538,0.145832083,0.142857143,0.041666667,0.166666666,0,0.125,0.25,0.111111111,0.285714286,0.2,0.333333333,0.166666667,0.2,0,0.142857143,0.333333333,0.105555556,0,0.25,0,0,0,0,0.111109136,0,0.166666667,0.333333333,0,0,0.1,0
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0.029411349,0.060897436,0.05,0.25,0.4,0.142857143,0.333333333,0.4375,0.380952381,0.333324445,0.5,0.291661667,0.375,0.549999999,0.166666667,0.333333333,0.333333333,0.571428571,0,0.1,0.05,0.236111111,0.145833333,0,0.1999968,0.125,0,0.153846154,0,0.166666667,0.215909091,0.25,0.225,0,0.066666667,0
