,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0.130555556,0.142857143,0.2,0.25,0.083333333,0,0.2,0.078787879,0,0,0,0.088461065,0,0,0,0,0,0,0.249990001,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0.333324445,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0.013888457,0.166662223,0.75,0.800000001,0.800000001,1.322222222,0.999893358,1.000000001,0.833333334,0.666666667,0.775,0.75,0.999999998,0.800000001,0.708333333,0.833333334,1.1,0.666666667,0.775,0.75,0.749985001,0.55,0.816666667,1.450000001,0.75,0.342857143,0.427272727,0.333333333,0.414285714,0.333333333,0.333333332,0.428571428,0.75,0.533333333,0.272727273,0.388111888
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.124990001,0.125,0.222222222,0.225,0.211111111,0,0.142857143,0.25,0.2,0.111111111,0.2,0.2,0.142853878,0.035713878,0.142857143,0.142857143,0.125,0.171428572,0.171428572,0.111101235,0.214285714,0,0.088461538,0,0,0,0,0,0,0.083333333,0,0,0.038461538
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102630779,0.126982494,0.125,0.225,0.25,0.15475746,0.3,0.25,0,0.333333333,0.166666666,0,0.25,0.181818182,0,0.183333333,0.183333333,0.25,0.071428571,0.045454545,0.142857143,0.171428571,0.190909091,0.2,0,0,0.1999936,0.071428571,0.113082179,0,0.0625,0.366660267,0.285714286,0.090909091,0.045454545
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242857143,0.118055556,0.333333333,0.333333333,0.333333333,0.499980002,0.500000001,0.5,0.585714285,0.666666666,0.666666667,0.577777778,0.660714286,0.666666667,0.774999999,0.666666667,0.5,0.666666667,0.5,0.666666664,0.612487501,0.625,1.090909091,1.333333334,1.045454546,1.45,1.837662339,0.31339184,0.132478632
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265151515,0.354166667,0.416666666,0.125,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.240384615,0.585707755,0.714285714,0.999999999,1.261363637,0.916506716,1.333333334,2.142857142,1.250000002,1.333333334,2.333333334,1.535714285,2.045486545,1.944444446,1.571428571,1,1.000000002,0.999999997,1.000000001,0.75,1.333333334,1,1.333333329,1.267832144,0.895833333,1.399999998,0.666666667,0.571428571,0.666666667,0.333333333,0.4,0.5,0.5,0.22875817,0.045454545
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0.013708679,0.162337662,0.277777778,0.5,0.500000001,0.500000001,0.55,0.428571428,0.666666667,0.333333333,0.5,0.8452283,0.242857143,0.500000001,0.499999998,0.816666667,0.388888889,0.366666667,0.333333333,0.3,0.25,0.555555555,0.444444445,0.316666667,0.600000001,0.4,0.25,0.333333333,0.25,0.291666667,0.090909091,0.2,0.105555556,0.392307692,0.225,0.076923077
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0.014288402,0,0.05,0.133928571,0,0.055555556,0.166666667,0.25,0.222222222,0.30952381,0.375,0.225,0.126315789,0.222222222,0.125,0.354166667,0.399987201,0.111111111,0.218253968,0.142857143,0.1,0,0,0.2,0.142857143,0,0,0.155555555,0.05,0,0.2,0.0625,0.190909091,0.111111111,0.090909091,0.111111111
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.366663467,0.458329333,0.480769231,0.899999999,0.5,0.5,0.366666667,0.55,0.5,0.285714286,0.285714286,0.242647059,0.708333334,0.4,0.4,0.5,0.224995,0.045454545,0.105555556,0.666666667,0.333333333,0.214285714,0,0,0.171426939,0.142857143,0.125,0,0,0,0,0,0
stop11,0,0,0,0,0,0,0,0,0,0,0,0,0.007246293,0.105263158,0.083916084,0.2,0.333333333,0.214285714,0.3875,0.285714286,0.708333333,0.499995999,0.666666666,0.499999998,0.600000001,0.600000001,0.599999999,0.732142857,0.4,0.414285714,0.275,0.5,0.333333333,0.253968254,0.25,0.333333333,0.333333333,0.166666666,0,0.142857143,0.2,0,0,0,0,0,0,0.055555556
stop12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.4,0.333333333,0.666666667,0.4,0.333333333,0.3875,0.126984127,0.25,0.333333333,0.2,0.381818182,0.267857143,0.12499875,0.708333333,0.3,0.384615385,0.183333333,0.153846154,0.25,0.25,0.1,0.166666667,0.166666666,0.138886667,0.261363636,0.25,0.357142857,0.3499976,0.3875,0.138888889,0
