,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.4,0.090907769,0,0.5,0,0,0,0,0,0.0999984,0,0,0.090907769,0,0,0,0,0,0.138457865,0,0.215907769,0,0,0,0,0,0,0,0,0,0,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0.083327778,0.5,0.3875,1.249999999,1.457123658,1.499999999,1.333226684,0.784615384,0.666666667,0.9375,0.7,0.799999999,1.000000001,0.550000001,0.436503039,0.4,1.200000001,0.714269388,0.333333333,0.600000001,0.5,0.5,0.666666666,1.166666665,1.000000001,0.660714285,0.4,0.333333333,0.343137255,0.285714286,0.375,0.4,0.800000001,0.545454546,0.111111111,0.115381775
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118055556,0.249985002,0.225,0.25,0.333333333,0.25,0,0.225,0.2,0.05,0,0.2,0.0625,0,0.166666667,0.25,0.5,0.111111111,0.183333333,0.076923077,0.183333333,0,0,0.094017094,0.142857143,0.183333333,0.05,0.142857143,0,0.029411765,0,0,0,0.067982456,0
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.333333333,0.333333333,0.4,0.29047619,0.166666667,0.166666667,0.125,0.154761905,0,0.366666667,0,0,0,0.333333333,0.291666667,0.207142857,0.2,0.2,0.1625,0,0.4,0.166666667,0.08496732,0.142857143,0,0,0.1,0.125,0.285714286,0.4,0.25,0.108187134,0
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154761905,0.2,0.047619048,0.111111111,0.333333333,0.225,0.166666667,0.111111111,0.25,0.333333333,0.292857143,0.183333333,0.166666667,0.333333333,0.333333333,0.555555556,0.583333333,0.385416667,0.555555556,0.5,0.522222222,0.45,0.25,0.296703297,0.366660267,0.408333333,0.666666667,0.414285714,1.399999998,0.454545455,0.132478632,0
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0.388888889,0,0.25,0,0,0,0,0,0,0,0,0,0,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0.046427881,0.874982501,0.999999997,1.409080993,1.545454545,1.464285714,0.999999999,0.9,1.100000002,1.499999999,0.833333333,0.714285714,1.364285714,1,0.833333334,1.25,1.258928571,1.374999999,0.999999999,0.999999998,1.071428571,0.647727273,0.937499999,1.111111111,1.400000001,0.690476191,0.999999999,0.5,0.357142857,0.333333333,0.363970588,0.5,0.535714286,0.25,0.157894737,0.111111111
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0.055554568,0.3125,0.625,1.045454546,0.8375,0.6,0.464285715,0.499999998,0.55,0.449494949,0.333333333,0.500000001,0.75,0.5,0.45,0.366666666,0.75,0.75,0.666666667,0.4,0.599999999,0.207142857,0.464285714,0.666666667,0.800000001,0.225,0.30952381,0,0.25,0.25,0.2,0.375,0.225,0.30952381,0.136363636,0.142857143
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0.133333333,0.25,0,0.275,0.366666667,0.354166667,0.333333333,0.2,0.1125,0.225,0.272727273,0.166666667,0.208333333,0.2,0.272727273,0.240377116,0.250005,0.25,0.266666667,0,0.166666667,0.25,0.1999968,0,0.1,0.045454545,0.166666667,0.1,0,0.038461538,0.026315789,0,0.045454545,0
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0.086419412,0.222222222,0.500000001,0.333333333,0.738636363,0.533333333,0.499990001,0.3875,0.5,0.213235294,0.266666667,0.25,0.384615385,0.366666667,0.090909091,0.333333333,0.333333333,0.333333333,0.285714286,0.183333333,0,0.222218272,0.2,0.111111111,0.25,0.25,0,0.083333333,0.166662222,0,0.2,0,0.2,0,0.035713878,0
