,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.045454545,0.236111111,0
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125490196,0,0.085144928,0.094017094,0,0.04984051,0.05,0.078787879,0,0,0.1,0,0.125,0.045454545,0.05,0,0,0.083333333,0.125,0,0,0,0,0,0,0,0,0,0.049043062,0,0
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0.1,0.090909091,0.125,0.091666667,0.166666667,0.142857143,0.076923077,0.133928571,0.25,0.114379085,0.049462366,0.083333333,0.071428571,0.035714286,0.066666667,0.076923077,0.0625,0.111111111,0.125,0.142857143,0.090909091,0.11,0.071794872,0,0.0625,0,0,0.083333333,0,0.066666667,0.132697947,0.075498575,0.152777778
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0.052631579,0,0.008849558,0,0.016387077,0.025641026,0,0,0,0,0,0,0,0,0.047619048,0.04456328,0.048780488,0.056603774,0,0,0,0.048809524,0.071428571,0.06512605,0.077777778,0.108823529,0,0.125
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.080128205,0.105263158,0.076923077,0.047619048,0.095238095,0.111111111,0.089285714,0.066666667,0.107142857,0.085784314,0.076923077,0.095238095,0.052667579,0.037037037,0.085714286,0.125322997,0.1,0.083333333,0.081666667,0.137931034,0.194444444,0.172413793,0.137243402,0.037037037,0.121323529,0.040625,0.222222222,0.136363636,0.115555556,0.138095238,0.24137931,0.125,0.3
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.083333333,0.0625,0,0.091666667,0.016129032,0,0.017241379,0.033333333,0.066666667,0.046511628,0.066666667,0,0.027756939,0,0.027027027,0.086956522,0,0.064583333,0.041666667,0.033333333,0.045454545,0.045454545,0.066666667,0,0,0,0,0,0.045454545,0,0,0.019230769,0.032258065,0.125
