,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0.090909091,0,0.111111111,0,0.117647059,0.1,0.083333333,0.071428571,0.141666667,0.16025641,0.105263158,0,0.142857143,0,0.111111111,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.027777778,0.0625,0.159722222,0.222222222,0,0.083333333,0,0.103174603,0.067982456,0.062745098,0.0625,0.0625,0.1,0.076923077,0.059027778,0.091666667,0,0.176923077,0.1,0.111111111,0.171428571,0,0,0.058823529,0,0.045454545,0.086956522,0.177083333,0,0.35
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033482143,0,0,0.041666667,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0.05,0,0,0,0,0.035714286,0,0,0.034482759,0.078461538,0.095454545,0.095454545,0.272727273
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097619048,0.072916667,0.057142857,0.076923077,0.105555556,0.097619048,0.115384615,0.055555556,0.071428571,0.095238095,0.071428571,0.064583333,0.057142857,0.052631579,0.095238095,0.0625,0.0625,0.111111111,0.113888889,0.11323764,0.226415094,0.211111111,0.153846154,0.069047619,0.1875,0.111111111,0.117647059,0.111111111,0.2,0.109126984,0.230769231,0.2,0.355555556
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0.025641026,0.02807971,0,0,0,0.057142857,0.03125,0.021286031,0,0.027347781,0.043478261,0.074074074,0.066666667,0.021276596,0.019230769,0.036666667,0.057189542,0,0.181133056,0.136363636,0,0,0,0,0.02,0.086956522,0.023809524,0,0,0
stop11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.08,0.066666667,0.038461538,0.066666667,0.066666667,0.117647059,0.07125,0.082869855,0.052139037,0.047619048,0.038856305,0.052631579,0.052631579,0.060661765,0.073170732,0.045454545,0.058823529,0.046536797,0.1,0,0,0,0,0,0,0.055727554,0.105454545,0.0625,0.093073593,0.034482759,0.083333333,0
stop12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207142857,0.2,0.136363636,0.158333333,0.101010101,0.229020979,0.190909091,0.149074074,0.174242424,0.159545455,0.119799139,0.163333333,0.147058824,0.166666667,0.166666667,0.155,0.208333333,0.205263158,0.131884058,0.153846154,0.202020202,0.111111111,0.138095238,0.125,0.12,0.142857143,0.210526316,0.138095238,0.058080808,0.19047619,0.302173913,0.154761905,0.133928571
stop13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
