,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04887218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126923077,0,0,0
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.071428571,0,0.053060079,0,0,0,0,0,0,0,0.156565657,0,0.0625,0,0,0,0,0,0,0,0,0.111111111,0.139423077,0,0.0625,0.166666667
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0.0625,0,0.035714286,0,0,0,0.097222222,0.020547945,0,0,0,0,0,0,0,0,0,0,0.045454545,0.035714286,0,0,0,0,0,0,0,0,0,0
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19375,0.25,0.224789916,0.210526316,0.1625,0.208333333,0.333333333,0.142857143,0.111111111,0.25,0.142857143,0,0.1125,0.171428571,0.235294118,0.125,0.132478632,0.127717391,0.129166667,0.190909091,0.1,0.230769231,0.076923077,0.173913043,0.166666667,0,0,0,0.090909091,0.119385343,0.095238095,0,0
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043557169,0.043560606,0.08,0.087121212,0,0.071794872,0,0,0,0.041666667,0,0,0,0,0.076923077,0.043478261,0,0,0.039434524,0,0.027777778,0.047619048,0.078461538,0,0,0,0,0.05,0,0.098086124,0.130252101,0.066666667,0
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.178571429,0.105555556,0.161406026,0.127717391,0.111455108,0.2,0.058823529,0.1,0.142156863,0.103174603,0.142857143,0.117647059,0.121323529,0.133928571,0.115384615,0.12347561,0.083881579,0.125,0.160714286,0.109774436,0.267857143,0.15,0.240740741,0.178571429,0.12,0.16025641,0.215384615,0.111111111,0.25,0.183333333,0.23030303,0.181818182,0.316666667,0
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.233333333,0.066666667,0.103006189,0.074074074,0,0,0,0.074175824,0.053977273,0.090909091,0.064516129,0.006944444,0,0,0.149074074,0.090909091,0.087114338,0.08,0.067873303,0.071428571,0,0.078947368,0.142857143,0.043478261,0,0,0,0,0.142857143,0.12,0.071428571,0.035714286,0,0
stop11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0.181818182,0.151515152,0.161290323,0.120772947,0.129166667,0.083333333,0.157407407,0.067816092,0.121212121,0.136363636,0.125,0.057565789,0.074074074,0.049043062,0.09375,0.13961039,0.074175824,0.166666667,0.213636364,0.088461538,0.13245614,0.15,0.130434783,0.071428571,0,0.090909091,0,0.066666667,0.111111111,0.076923077,0,0.166666667,0
stop12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.208333333,0.285714286,0.196774194,0.258064516,0.202380952,0.307692308,0.230769231,0.095238095,0.211111111,0.142857143,0.076923077,0.148351648,0.177083333,0.128181818,0.166666667,0.178571429,0.166666667,0.1875,0.103174603,0.133333333,0.058823529,0.171568627,0.170212766,0.1,0.19047619,0.238095238,0.159663866,0.133333333,0.181818182,0.166666667,0.2,0.218253968,0.027777778,0.090909091
