,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088461538,0.098214286,0.041666667,0
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0.090909091,0,0.083333333,0.090909091,0.1,0.201923077,0.090909091,0.111111111,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0.215384615,0.111111111,0,0.5
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0.125,0.118055556,0.133333333,0,0,0,0.118055556,0.03125,0.118055556,0,0,0.083333333,0,0,0,0,0,0,0,0.097285068,0.015873016,0,0,0,0,0,0,0,0,0,0
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118055556,0.166666667,0.19047619,0.25462963,0.325757576,0.2,0.125,0.222222222,0.331818182,0.2,0.250980392,0.2,0,0.111111111,0.078703704,0.067873303,0.285714286,0.174242424,0.045833333,0.095454545,0.111111111,0.11,0.084482759,0.210526316,0.2,0.2,0,0,0.067873303,0,0.148351648,0.2,0,0
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0.088235294,0.107142857,0.027027027,0.025862069,0.028571429,0,0,0.090909091,0.047619048,0.058823529,0,0,0,0.066666667,0.03125,0,0,0.03125,0,0.0625,0.032258065,0,0,0,0.052631579,0.095238095,0,0.083333333,0.071428571,0.071428571,0,0.033333333
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0.21978022,0.035714286,0.238095238,0.152073733,0.219806763,0.153846154,0.16,0.1,0.097619048,0.12406015,0.077380952,0.118055556,0.2,0.127717391,0.173913043,0.058823529,0.09,0.125,0.125,0.1,0.068965517,0.155870445,0.2,0.292613636,0.229569892,0.229166667,0.115555556,0.19047619,0.2,0.222222222,0.189285714,0.221212121,0.173913043,0.230769231,0.285714286,0.183333333
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.377038043,0.1,0.072944297,0.125,0.078461538,0.093023256,0,0,0.076923077,0.082491582,0.116515837,0,0,0,0.129032258,0.076923077,0.071428571,0.077380952,0.042232278,0.114379085,0,0.066666667,0.090909091,0.0625,0.0625,0.026315789,0.058823529,0,0,0.125,0.075,0.081939799,0,0.041666667
stop11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053221289,0.266666667,0.22875817,0.191489362,0.168233083,0.166666667,0.136574074,0.121323529,0.2,0.148351648,0.166666667,0.052631579,0.074175824,0.064323607,0.1,0.142857143,0.1875,0.083333333,0.111111111,0.1875,0.111111111,0.127717391,0.158947368,0.193548387,0,0.034482759,0.090909091,0.111111111,0.1,0.088815789,0.138590203,0.083333333,0,0.043478261
