,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0.166666667
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080128205,0.076923077,0,0.113095238,0,0.042563601,0.143478261,0.214285714,0.076923077,0,0,0,0,0,0,0,0,0,0.083333333,0.1,0,0,0,0,0,0,0,0,0.133928571,0,0.142857143,0
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.171568627,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0.090909091,0.111111111,0.142857143,0,0,0,0,0,0,0,0,0,0
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.007462687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.186956522,0.200980392,0.258333333,0.303030303,0.071428571,0.166666667,0.142857143,0.162337662,0.25,0.165178571,0.25,0.154761905,0.080555556,0.261363636,0.19047619,0.116883117,0.0625,0.071428571,0.066239316,0,0.166666667,0.130434783,0.069047619,0.142857143,0.176923077,0.128787879,0.076923077,0,0.058823529,0.166666667,0.06512605,0,0.125
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0.079192547,0.103448276,0.055555556,0.064583333,0.016666667,0.1,0.055555556,0.058823529,0.041666667,0,0,0,0,0.08125,0.081939799,0.016666667,0,0.035714286,0.04,0.055555556,0.057142857,0,0,0,0,0.111111111,0,0,0.074074074,0.1,0,0.333333333
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.05,0.105263158,0.187062937,0.130434783,0.140217391,0.133333333,0.1,0.125823452,0.095454545,0.090909091,0.027027027,0.187142857,0.2,0.062745098,0.05,0.090909091,0.111111111,0.076923077,0.117647059,0.146428571,0.080882353,0.208711434,0.1875,0.20782726,0.157894737,0.111111111,0.145833333,0.180555556,0.125,0.128787879,0.176470588,0.18543956,0.2,0.214285714,0.25
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0.275,0.186956522,0.103174603,0.082905983,0.127717391,0.062260536,0.058823529,0.033898305,0.066964286,0.057142857,0.083333333,0.125,0,0.023809524,0,0.15037594,0.104166667,0.045454545,0.058823529,0.111111111,0.024410774,0.047008547,0.045546559,0.059714795,0.042572464,0.052631579,0,0.055555556,0.1,0.04,0.125,0,0,0.038461538,0
stop11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0.2,0.225881262,0.165714286,0.0625,0.0625,0.111111111,0.111111111,0.1,0.142857143,0.175925926,0.076923077,0.02,0.039705882,0.096511628,0.157894737,0.13961039,0.081550802,0.181818182,0.204166667,0.0625,0.081081081,0.115384615,0.161290323,0.088888889,0.039230769,0.126315789,0,0.055555556,0.076923077,0.038461538,0.033333333,0.023809524,0.5
