,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.038461538,0
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077380952,0,0.018518519,0.027777778,0.0625,0.041666667,0.1,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.25,0.066666667,0.113095238,0,0.087121212,0,0,0.166666667,0,0,0,0.138095238,0.139204545,0,0,0.059027778,0,0,0.058823529,0.125,0,0.143589744,0,0,0,0,0,0.066666667,0,0
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116883117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233031674,0.179487179,0.15,0.363636364,0.25,0.100840336,0.333333333,0.333333333,0.049158249,0.137931034,0.176923077,0.071428571,0.166666667,0.301948052,0.111111111,0.015151515,0.035714286,0,0.078787879,0.171568627,0.074074074,0.117647059,0,0.1,0.133928571,0,0,0,0.029411765,0.142857143,0.090909091,0.05,0
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0.06107171,0.055555556,0.075714286,0.031280547,0,0,0.03125,0,0.072049689,0,0.025809717,0,0,0.076923077,0.05,0.080128205,0.04805492,0.048809524,0,0,0.054054054,0.056079665,0,0.05,0,0,0,0.080128205,0,0.133399209,0.05,0.066666667
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0.146978022,0.087242026,0.168238994,0.121212121,0.139423077,0.098086124,0.065,0.153409091,0.118055556,0,0.133928571,0.1,0.053751804,0.035185185,0.055555556,0.066448802,0.011111111,0.083333333,0.125789474,0.108187135,0.091097308,0.093055556,0.253205128,0.186342593,0.101010101,0.135135135,0.138095238,0.145833333,0.1875,0.2,0.25,0.15,0.230769231,0.292857143
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122718053,0.060200669,0.060954817,0.052631579,0.063636364,0,0,0.017241379,0,0,0.090909091,0,0.039096126,0.045454545,0.074175824,0.1,0.011235955,0.056349206,0.064393939,0.058823529,0.060606061,0.027777778,0.114379085,0.048809524,0,0.054411765,0.058823529,0.017241379,0.066666667,0.066666667,0.066666667,0.017857143,0,0
stop11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619,0.111111111,0.084375,0.117647059,0.083333333,0.13245614,0.052631579,0.051322751,0.069444444,0.111111111,0.15,0.05,0.04592803,0.133333333,0.1,0.083333333,0.039705882,0.08,0.123123123,0.036024845,0.144345238,0.095262097,0.08,0.088235294,0.045454545,0.055555556,0,0.052631579,0.105263158,0.0625,0.083333333,0.076923077,0
stop12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.090909091,0.1,0.18579627,0.222222222,0.214285714,0.222222222,0.16,0.227272727,0.181818182,0.16025641,0.107625483,0.154761905,0.142857143,0.117647059,0.166666667,0.129166667,0.095454545,0.148148148,0.136923077,0.189189189,0.183673469,0.11,0.25,0.19047619,0.229385307,0.176470588,0.142857143,0.25,0.159663866,0.140394089,0.142857143,0.201417004,0.166666667,0.190909091
